engine_id,engine_name,engine_platforms,engines_companies
186,OEngine,6;48;49;,5025;
414,html5,undefined,undefined
1291,Pinball Construction Set,undefined,undefined
237,The Madness Engine,undefined,356;
439,Unreal Engine 4,undefined,17463;
607,Visionaire Studio,undefined,undefined
1357,Cryogen,undefined,undefined
1211,Trial,undefined,undefined
34,GlassBox,undefined,undefined
32,Retox,undefined,undefined
153,LyN,5;6;9;12;20;37;,undefined
203,UE4 - duplicate,undefined,undefined
35,Northlight Engine,6;48;49;,undefined
40,Titan 2.0,undefined,undefined
44,Velocity Engine,undefined,undefined
109,Horizon Engine,undefined,undefined
112,FlatRedBall,undefined,undefined
129,Emmersion,undefined,undefined
127,LS3D,undefined,undefined
143,Sierra's Creative Interpreter,undefined,undefined
146,Beard+Razor,undefined,undefined
1279,MS25,undefined,undefined
594,flash,undefined,undefined
162,Vampire,undefined,undefined
225,Phoenix Engine (Relic),6;9;12;,196;
184,Killzone Shadow Fall engine,undefined,undefined
1052,Rpgmak,undefined,undefined
288,Dagon Engine,undefined,undefined
416,Evolution Engine,undefined,undefined
1328,RTC Engine,undefined,undefined
835,Dark Sun,undefined,undefined
1185,Creatures Evolution Engine,undefined,undefined
1307,Halo 3,undefined,undefined
665,Soft Engine 2.0,undefined,undefined
1139,Flutter,undefined,undefined
1256,Majiro,undefined,undefined
229,Moai,undefined,undefined
121,Refractor Engine,6;11;14;,94;138;155;
1210,Darkstar,undefined,undefined
1212,plays,undefined,undefined
526,zandronum,undefined,undefined
1108,Starlight,undefined,undefined
1257,Infinity Engine 2,undefined,undefined
171,Flixel,undefined,undefined
976,CP System II (CPS-2),undefined,undefined
1310,Raven,undefined,undefined
174,PhyreEngine,undefined,45;
557,Source 2,6;14;34;39;,56;
50,Starbreeze Engine,undefined,undefined
766,Saber3D Engine,undefined,undefined
519,Offset Engine,undefined,13730;
205,DarkPlaces engine,undefined,undefined
346,Road Hog Engine,undefined,420;
515,Ronin,undefined,undefined
147,YETI,6;9;12;38;41;,841;4477;
138,Jedi,6;13;,undefined
1037,Bemani PC Type 5,undefined,undefined
8,Havok,undefined,undefined
1159,ShiVa3d,undefined,undefined
834,TyranoScript,undefined,undefined
30,Angelica III,undefined,undefined
23,Serious Engine 4,undefined,undefined
676,E.V.I.L Engine,undefined,undefined
1180,FMOD,undefined,undefined
57,Real Virtuality,undefined,undefined
59,Impact Engine,undefined,undefined
1223,Windows Mobile,undefined,undefined
163,CloakNT3,undefined,undefined
1149,EMotion FX,undefined,undefined
208,Zero,undefined,undefined
373,HaxeFlixel,undefined,undefined
270,Cinematique,undefined,undefined
268,c#,undefined,undefined
283,Ice-Peak Engine,undefined,undefined
1054,I.K.E.M.E.N,undefined,undefined
68,Aurora Engine,6;,2;
1278,MS30,undefined,undefined
905,Construct,undefined,undefined
1147,Invention,undefined,undefined
238,Sprint,undefined,undefined
1009,KRASS Engine,undefined,undefined
623,Abyss Engine,undefined,undefined
674,Star Engine,undefined,undefined
673,Serious Engine 4.0,undefined,undefined
705,Alien Shooter Engine,undefined,undefined
1137,Go,undefined,undefined
38,Diesel,undefined,undefined
21,TheEngine,6;14;,5851;
747,libGDX,undefined,undefined
27,Dark Alliance Engine,6;8;9;11;12;21;38;,78;
1109,idTech3,undefined,undefined
434,Novelty,undefined,undefined
19,Ubisoft Snowdrop,6;48;49;130;170;,104;537;
1063,Cardinal Game Engine,undefined,undefined
1250,Airem engine,undefined,undefined
357,Sonic Worlds,undefined,undefined
1282,Croc 2,undefined,undefined
126,Kinetica,8;,4357;
437,BANG!,undefined,undefined
1131,Steamclock Software,undefined,undefined
1270,Nugbase Engine,undefined,undefined
1179,stockfish,undefined,undefined
134,ZenGin,6;,1056;
37,Quest,undefined,undefined
1220,menduz engine,undefined,undefined
218,node.js,undefined,undefined
33,Forgelight Engine,undefined,undefined
92,XnGine,undefined,undefined
836,namco,undefined,undefined
93,Radiant AI,undefined,undefined
1325,Taito Type-X2,undefined,undefined
114,Crystal Tools,undefined,undefined
608,Symbian,undefined,undefined
132,Voxel Plus,undefined,undefined
167,Cube Engine,undefined,undefined
1073,Varytale,undefined,undefined
1134,skaza engine,undefined,undefined
1064,JEng,undefined,undefined
502,Autodesk Beast,undefined,undefined
692,ElectronJS,undefined,undefined
294,Serious Engine 3.5,undefined,undefined
293,jMonkeyEngine,undefined,undefined
347,Visionaire,undefined,undefined
206,Construct 2,undefined,undefined
319,Cougar Adventure Engine,undefined,undefined
343,Box2D,undefined,undefined
1121,BabylonJS,undefined,undefined
408,Un,undefined,undefined
406,Kapow Systems 3D,undefined,undefined
415,Internal Piranha Byte's Engine,undefined,undefined
424,Homemade,undefined,undefined
426,pyglet,undefined,undefined
447,PINA,undefined,undefined
617,Yuna Engine,undefined,undefined
628,Vulkan,undefined,undefined
664,Asylum,undefined,undefined
316,Serious Engine,undefined,undefined
818,proprietary engine [ by Team Ninja ],undefined,undefined
46,Crystal Engine,undefined,undefined
762,Shooting Game Builder,undefined,undefined
1186,Rockstar Advanced Game Engine,undefined,undefined
593,Allegro,3;6;14;34;39;,undefined
66,BigWorld,undefined,undefined
389,Pixi,undefined,undefined
1176,Meep,undefined,undefined
1114,StepMania,undefined,undefined
10,AnvilNext,6;9;12;41;46;48;49;,38;
1065,Texture,undefined,undefined
1294,Havok Vision Game Engine,undefined,undefined
286,Silent Storm Engine,undefined,undefined
498,DS2,6;,12247;
1358,DOSBox,undefined,undefined
829,PICO-8,undefined,undefined
16,Disrupt,undefined,undefined
278,The Sims 2 Engine,undefined,undefined
36,Asura,undefined,undefined
49,Pyrogenesis,undefined,undefined
528,Glacier 2,undefined,290;
151,Plasma Engine,undefined,undefined
158,Xed,undefined,undefined
175,Dark Side,undefined,undefined
1164,Cardboard,undefined,undefined
176,Earth-4,undefined,undefined
177,Nebula Device,undefined,undefined
187,Alamo,undefined,undefined
188,Snowblind engine,undefined,undefined
214,COBRA,undefined,undefined
230,Gepard 3D engine,undefined,undefined
273,Shadow Knights,undefined,undefined
275,The Banner Saga Engine,undefined,undefined
307,Hammerhead,undefined,undefined
12,Telltale Tool,undefined,undefined
1055,FIFA 2001 Engine,undefined,undefined
939,DreamFactory,undefined,undefined
971,Sega Chihiro,undefined,undefined
116,id Tech 1,undefined,undefined
979,Mars VR Engine,undefined,undefined
816,Yamaneko Engine,undefined,undefined
1353,EAGL 2,undefined,undefined
